ID;азвание;усское название;ртикул;роизводитель;ренд;атегория;аличие;ена
2000047536;Встраиваемая вытяжка, ширина 54 см, отвод/рециркуляция, 1000 м3/час, управление Soft Touch, 4 скорости, светодиодное освещение 1х13 Вт, металлические жироулавливающие фильтры, угольный фильтр (опция), цвет чёрный;Вытяжка Kuppersberg;INBOX 54 B;Kuppersberg;;Бытовая техника и электроника;0;ет цены
2000047182;Чистящие средства для бытовой техники Electrolux/ CLEAN & CARE 3 в 1 - средство от накипи, обезжиривающее средство, очиститель (12 пакетиков);Чистящие средства для бытовой техники Electrolux;M3GCP400-12;Electrolux;;Бытовая техника и электроника;0;ет цены
2000043495;ВЫТЯЖКА MAUNFELD OUSE TOUCH 60 белый/БЕЛОЕ стекло/ • Тип: встраиваемая• Цвет: белый• Управление: сенсорное• Ширина, мм: 600• Полная потребляемая мощность, Вт: 190• Количество скоростей: 3• Максимальная производительность, м3/ч: 750• Диаметр воздуховода, мм: 120• Площадь кухни: до 30 м2• Уровень шума, Дб: 48• Освещение, Вт: светодиодное 2х3• Особенность : корпус из высокопрочного пластика, новый способ установки и замены освещения, передняя панель из стекла• В комплекте: инструкция на русском язы;ВЫТЯЖКА MAUNFELD OUSE TOUCH 60 белый/БЕЛОЕ стекло;OUSE TOUCH 60 Glass White;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000051651;Духовой шкаф CR 913 M BK DCT TFT;Духовой шкаф Franke 116.0374.295;116.0374.295;Franke;;Бытовая техника и электроника;0;ет цены
2000045978;Встраиваемая вытяжка JET AIR/ Встраиваемая, 60 см, 650 м3, кнопочное управление, цвет: белый;Встраиваемая вытяжка JET AIR;AURORA LX/WH/F/60-PRF0045669C;Jet Air;;Бытовая техника и электроника;0;ет цены
2000051691;Мойка PPX 110-52 стоп.;Мойка Franke 122.0203.471;122.0203.471;Franke;;Бытовая техника и электроника;0;ет цены
2000051680;Смеситель EOS CLEAR WATER;Смеситель Franke 120.0179.979;120.0179.979;Franke;;Бытовая техника и электроника;0;ет цены
2000051679;Морозильный шкаф встраиваемый,  212 л, функция быстрого замораживания Fast Freeze, охлаждение No Frost, скользящие направляющие крепления двери, класс энергопотребления A+, электромеханическое управление с дисплеем, перенавешиваемая дверь,  7 независимых выдвижных ящиков для хранения, в том числе вместительный Store Box, светодиодное освещение (LED);Морозильный шкаф Franke FSDF 330 NR ENF V A+;118.0532.621;Franke;;Бытовая техника и электроника;0;ет цены
2000051678;Холодильник встраиваемый,  301 л, вентиляция,  динамическая система охлаждения, быстрое охлаждение,  ионизатор воздуха, электромеханическоеуправление, скользящие направляющие крепления двери,  класс энергопотребления A+, перенавешиваемые двери,  6 полок из закаленного стекла, металлическая полка для бутылок, ящик для для овощей и фруктов с регулировкой влажности, 6 полок на двери, контейнер Multibox, светодиодное освещение (LED);Холодильник Franke FSDR 330 NR V A+;118.0532.599;Franke;;Бытовая техника и электроника;0;ет цены
2000051668;Духовой шкаф SMP 62 M XS/F чёрн.;Духовой шкаф Franke 116.0541.715;116.0541.715;Franke;;Бытовая техника и электроника;0;ет цены
2000046877;"Встраиваемые газовые панели INDESIT/ Газ,  4x59x52 см, Газ на металле; 60 см; 4 конфорки; автоподжиг; цвет: антрацит";Встраиваемые газовые панели INDESIT;PN 642 /I (AN);Indesit;;Бытовая техника и электроника;0;ет цены
2000038404;Como  S3 Edelweiss CeramicPlus;Смесители Villeroy & Boch;925100S3;Villeroy & Boch;;Бытовая техника и электроника;0;ет цены
2000043496;ВЫТЯЖКА MAUNFELD OUSE TOUCH 60 черный/ЧЕРНОЕ стекло/ • Тип: встраиваемая• Цвет: черный• Управление: сенсорное• Ширина, мм: 600• Полная потребляемая мощность, Вт: 190• Количество скоростей: 3• Максимальная производительность, м3/ч: 750• Диаметр воздуховода, мм: 120• Площадь кухни: до 30 м2• Уровень шума, Дб: 48• Освещение, Вт: светодиодное 2х3• Особенность : корпус из высокопрочного пластика, новый способ установки и замены освещения, передняя панель из стекла• В комплекте: инструкция на русском ;ВЫТЯЖКА MAUNFELD OUSE TOUCH 60 черный/ЧЕРНОЕ стекло;OUSE TOUCH 60 Glass Black;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000043921;Встраиваемые принадлежности NEFF/ Мешки для вакуумирования, 180 х 280 мм, 100 шт.;Встраиваемые принадлежности NEFF;Z13CX64X0;NEFF;;Бытовая техника и электроника;0;ет цены
2000043922;Встраиваемые принадлежности NEFF/ Мешки для вакуумирования, 240 х 350 мм, 100 шт.;Встраиваемые принадлежности NEFF;Z13CX62X0;NEFF;;Бытовая техника и электроника;0;ет цены
2000043505;ВЫТЯЖКА MAUNFELD PLYM SOFT 60 ЧЕРНОЕ стекло/ • Тип: настенная • Цвет: черный• Управление: сенсорное • Ширина, мм: 600 • Полная потребляемая мощность, Вт: 150• Количество скоростей: 3 • Максимальная производительность, м3/ч: 600• Диаметр воздуховода, мм: 150 • Площадь кухни: до 20 м2 • Уровень шума, Дб: 49 • Освещение, Вт: светодиодное 2x1.5 • В комплекте: переходник, кожух, инструкция на русском языке• Сделано в Китае;ВЫТЯЖКА MAUNFELD PLYM SOFT 60 ЧЕРНОЕ стекло;PLYM Soft 60 GLASS Black;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000034591;Микроволновая печь LG;Микроволновая печь LG;MS20R42D.BW2QCIS;LG;;Бытовая техника и электроника;0;ет цены
2000048195;Кофемашина Krups/ Капс.кофемашина NDG Mini Me, 1500 Вт, 15 бар, 0.8 л;Кофемашина Krups;KP123B10;Krups;;Бытовая техника и электроника;0;ет цены
2000055044;Встраиваемая варочная панель SMEG/ Газ,  Classica, газовая варочная панель, 38 см, черная стеклокерамика;Встраиваемая варочная панель SMEG;PV332CN;SMEG;;Бытовая техника и электроника;0;ет цены
2000047421;Встраиваемый холодильник GORENJE/ Gorenje+, 177.5x54.5x55.5см, однокамерный, 301л, дисплей, FreshZone;Встраиваемый холодильник GORENJE;GDR5182A1;Gorenje;;Бытовая техника и электроника;0;ет цены
2000047424;Газ,  Газовая варочная панель на закаленном стекле, Решетки: Чугунные решетки, Автоматический электроподжиг варочной поверхности, Габаритные размеры (вхшхг): 13,6 х 60 х 52 см, черный;Встраиваемая варочная панель GORENJE;GT641B;Gorenje;;Бытовая техника и электроника;0;ет цены
2000047425;Газ,  Газовая варочная панель на закаленном стекле, Решетки: Чугунные решетки, Автоматический электроподжиг варочной поверхности, Габаритные размеры (вхшхг): 13,6 х 60 х 52 см, белый;Встраиваемая варочная панель GORENJE;GT641W;Gorenje;;Бытовая техника и электроника;0;ет цены
2000047614;Газовая варочная поверхность 60 см. Цвет: Черный. Цвет ручек: черный. Автоматический электроподжиг. 4 конфорки: быстрая, 2-е полубыстрые и вспомогательная. 2 эмалированных решетки. Цельноштампованная поверхность. Комплект форсунорк для балонного газа. Мощность 7,2 кВт;Встраиваемая газовая панель CANDY;CHW6BLB;Candy;;Бытовая техника и электроника;0;ет цены
2000025983;Измельчитель и кофемолка/ Кофемолка Simply Invents;Измельчитель и кофемолка;AR110830;Moulinex;;Бытовая техника и электроника;0;ет цены
2000038513;Kitchen collections for professionals  61 chrome;Аксессуары и запчасти для моек Villeroy & Boch;82140061;Villeroy & Boch;;Бытовая техника и электроника;0;ет цены
2000039019;122,1х54,1х54,2 см, Объём 211 л, класс А++;Встраиваемый холодильник BOSCH;KIR41AF20R;Bosch;;Бытовая техника и электроника;0;ет цены
2000039020;Встраиваемый холодильник;Встраиваемый холодильник BOSCH;KIR81AF20R;Bosch;;Бытовая техника и электроника;0;ет цены
2000031995;Вытяжка HANSA/ Тип купольная, 60 см, Мощность 290 Вт, Производительность 500 кб.м/час, черный;Вытяжка HANSA;OKC613RBH;Hansa;;Бытовая техника и электроника;0;ет цены
2000051708;Мойка KBG 110-50 под ст.сер.кам авт;Мойка Franke 125.0023.807;125.0023.807;Franke;;Бытовая техника и электроника;0;ет цены
2000051711;Мойка KBG 110-34 сер. авт.;Мойка Franke 125.0023.835;125.0023.835;Franke;;Бытовая техника и электроника;0;ет цены
2000051712;Мойка KBG 110-34 оникс авт.;Мойка Franke 125.0176.637;125.0176.637;Franke;;Бытовая техника и электроника;0;ет цены
2000051715;Мойка KBG 110-50 под ст. бел. авт.;Мойка Franke 125.0176.650;125.0176.650;Franke;;Бытовая техника и электроника;0;ет цены
2000040796;Встраиваемая варочная панель HANSA/ Электрическая,  РОЗНИЧНЫЙ ЭКСКЛЮЗИВ стеклокерамика, независимая, сенсорное управление, рамка, черная;Встраиваемая варочная панель HANSA;BHCI96306;Hansa;;Бытовая техника и электроника;0;ет цены
2000040797;Встраиваемая варочная панель HANSA/ Электрическая,  РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! стеклокерамика, независимая, сенсорное управление, таймер;Встраиваемая варочная панель HANSA;BHC96506;Hansa;;Бытовая техника и электроника;0;ет цены
2000049790;Встраиваемая варочная панель HANSA/ Варочная поверхность, газовая BHKS621531, 4 газовых конфороки (1х5,3см,2х7,3cм, WOK1х13,8см), ЧУГУННЫЕ РЕШЕТКИ, автоподжиг, газ- контроль, черный;Встраиваемая варочная панель HANSA;BHKS621531;Hansa;;Бытовая техника и электроника;0;ет цены
2000049561;Встраиваемые посудомоечные машины GORENJE/ узкая, 44.8 × 81.5 × 55 см, А++, 9 комплектов посуды, 1/2 загрузки, расход воды 9 л;Встраиваемые посудомоечные машины GORENJE;GV52010;Gorenje;;Бытовая техника и электроника;0;ет цены
2000052740;Встраиваемая вытяжка, ширина 60 см, сенсорное управление, отвод и рециркуляция, 350 м3/ч, черный цвет;Вытяжки GORENJE;TH64E3SGB;Gorenje;;Бытовая техника и электроника;0;ет цены
